Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7
0.00069904857,0.016887918,0.37170205,0.018174548,0.0001453583,1.3612131e-05,0.58816445,0.004212989
0.0035901892,0.073037446,0.014637191,0.010770706,0.00028660015,0.00014218241,0.017179305,0.8803564
0.00024439595,0.00015475013,0.0025864898,0.9693377,8.438952e-06,0.00081217976,0.026646024,0.00021003949
0.0011452679,0.040500093,0.0059495894,0.00058052555,1.3734593e-05,9.629454e-06,0.0006781102,0.9511231
0.00021174378,0.028231595,0.3112221,0.021651516,1.1584264e-05,6.537268e-06,0.63796705,0.0006979103
0.03190648,0.1745691,0.036435653,0.0042342795,5.5201028e-05,0.0004870408,0.0033502423,0.748962
0.0010678689,0.36286825,0.5153747,0.026346939,4.181719e-05,4.301954e-05,0.09268209,0.0015752765
0.00041903948,0.000107489104,0.014085727,0.9239281,8.626912e-06,0.0001545545,0.0612712,2.5326082e-05
0.011434515,0.19339673,0.022329913,0.0009523547,1.29942055e-05,1.3314462e-05,0.010039541,0.7618206
0.88917214,0.0038551392,0.0051343995,0.021657147,0.0012851794,9.2773524e-05,0.010386436,0.06841678
0.0076569775,0.003387064,0.1336273,0.7086276,5.8903997e-06,2.1815682e-05,0.14643238,0.00024096425
0.003405202,0.41373667,0.13326195,0.0032100824,3.1398893e-05,2.5022591e-05,0.020622995,0.4257067
4.1111252e-05,0.00019698522,0.0122371055,0.0023999338,2.7509614e-06,5.518431e-06,0.9849295,0.00018711612
5.0447776e-05,0.00012296495,0.0024260492,0.97166115,8.74118e-06,0.00020227992,0.025516,1.2429149e-05
0.00015634314,9.8239165e-05,0.018877028,0.4752119,1.0793748e-05,1.222981e-05,0.5055434,9.0066314e-05
0.9788507,0.0034840638,0.0042642234,0.00016704887,0.00031298556,6.1418427e-06,0.012020634,0.00089418446
0.00013525985,3.6658428e-05,0.0013286492,0.9970841,3.8460425e-06,0.0005295107,0.00073349586,0.00014852654
0.0010113544,0.00025852933,0.1312849,0.15050717,2.6127671e-05,6.287711e-05,0.71613014,0.0007189253
0.00074664084,0.00013347315,0.0058282306,0.68483156,1.8867759e-05,0.0005145424,0.30789956,2.7148699e-05
0.0007047867,0.0031373748,0.06438403,0.03868223,4.315394e-05,6.913813e-05,0.8913839,0.0015953811
0.00062003575,0.00020316862,0.0022803957,0.25808796,9.3082635e-06,2.7537477e-05,0.7387602,1.1394895e-05
0.00022885553,0.00021673764,0.14133377,0.3514581,5.4482665e-05,0.00021370634,0.5063903,0.00010408969
0.0007659779,0.4912459,0.46802667,0.0019212868,1.4729154e-05,6.5657885e-05,0.027511125,0.010448692
